,RMSE_A_44,RMSE_DREN_8,RMSE_D34_8,RMSE_EH2_3,RMSE_EH2_6,RMSE_E_44,RMSE_HULD_586,RMSE_P_17,RMSE_VALTHE_N5,RMSE_VALTHE_A11,Mean,Models
Topp (Eq. 3),6.85,9.24,2.2,12.68,6.15,4.1,6.58,0.8,1.81,1.59,5.2,Topp (Eq. 3)
Jac-SchjA (Eq. 4),4.85,8.19,3.29,11.2,4.52,3.18,4.8,2.48,3.65,3.41,4.96,Jac-SchjA (Eq. 4)
HydraProbe (Eq. 25),4.82,7.76,3.62,10.96,4.35,2.73,4.65,2.17,3.61,3.43,4.81,HydraProbe (Eq. 25)
Nadler (Eq. A1),5.88,8.42,3.49,9.84,5.04,5.19,5.42,6.88,7.16,7.36,6.47,Nadler (Eq. A1)
Jac-SchjB (Eq. A2),4.12,8.18,4.94,12.3,3.77,3.11,3.92,3.27,5.36,5.11,5.41,Jac-SchjB (Eq. A2)
Malicki (Eq. A3),7.43,8.39,3.29,13.56,5.78,3.83,6.04,1.15,2.38,1.98,5.38,Malicki (Eq. A3)
Steel-Endr (Eq. A4),9.74,11.1,0.66,14.95,8.51,5.98,9.12,2.16,1.43,1.95,6.56,Steel-Endr (Eq. A4)
Logsdon (Eq. A5),4.66,8.28,3.87,10.72,4.38,3.83,4.59,4.12,4.61,4.53,5.36,Logsdon (Eq. A5)
CRIM (Eq. 6),8.35,9.64,1.58,14.07,7.28,4.71,7.45,1.07,1.14,1.11,5.64,CRIM (Eq. 6)
Linde (Eq. 8),9.72,11.0,0.87,15.47,8.4,6.04,8.65,2.09,1.0,1.1,6.43,Linde (Eq. 8)
Wunderlich (Eq. 10),3.09,6.09,5.5,9.46,2.67,2.19,2.85,3.67,5.83,5.66,4.7,Wunderlich (Eq. 10)
Endr-Redm (Eq. 12),7.09,9.02,2.95,13.06,6.38,4.06,6.53,0.9,1.92,1.65,5.36,Endr-Redm (Eq. 12)
Peplinski (Eq. A6),7.95,6.43,10.85,12.61,2.31,1.84,6.94,2.74,11.16,11.1,7.39,Peplinski (Eq. A6)
Sen (Eq. A9),6.51,7.33,4.18,12.82,4.69,2.88,4.97,1.76,3.45,3.15,5.17,Sen (Eq. A9)
Feng-Sen (Eq. A11),8.1,10.25,1.61,14.18,7.44,5.3,7.5,1.97,1.57,0.94,5.89,Feng-Sen (Eq. A11)
LR (Eq. 5),1.17,2.05,0.17,1.05,0.89,1.47,0.89,0.56,0.97,1.1,1.03,LR (Eq. 5)
Linde (Eq. 7),1.18,2.02,0.31,1.01,0.9,1.55,0.9,0.66,0.92,0.98,1.04,Linde (Eq. 7)
Wunderlich (Eq. 9),1.15,1.17,0.25,0.89,0.95,0.63,0.88,0.41,0.93,0.97,0.82,Wunderlich (Eq. 9)
Endr-Redm (Eq. 11),1.41,2.23,0.27,3.74,1.13,1.84,1.04,0.9,1.09,1.14,1.48,Endr-Redm (Eq. 11)
Dobson (Eq. A7),1.66,1.41,2.15,2.62,9.51,0.86,1.5,1.23,1.69,1.12,2.38,Dobson (Eq. A7)
Sen (Eq. A8),1.28,2.53,0.36,4.47,0.83,1.61,0.97,0.94,0.69,0.81,1.45,Sen (Eq. A8)
Feng-Sen (Eq. A10),2.29,3.31,0.84,5.43,1.89,2.91,2.06,1.72,1.11,0.85,2.24,Feng-Sen (Eq. A10)
LR (Eq. 36),1.62,2.12,0.87,2.06,2.34,2.28,1.65,0.63,1.03,1.39,1.6,LR (Eq. 36)
Linde (Eq. 37),2.31,2.18,0.96,1.06,2.03,1.81,2.44,0.78,0.92,1.08,1.56,Linde (Eq. 37)
Wunderlich (Eq. 38),3.87,3.78,1.12,6.33,1.56,2.24,3.96,0.85,0.97,1.21,2.59,Wunderlich (Eq. 38)
Endr-Redm (Eq. 39),1.85,2.3,0.89,3.68,1.77,2.33,1.87,0.9,1.09,1.25,1.79,Endr-Redm (Eq. 39)
Sen (Eq. 40),3.13,2.49,1.62,4.47,1.07,1.73,2.58,0.97,0.69,0.97,1.97,Sen (Eq. 40)
Feng-Sen (Eq. 41),2.45,3.54,1.05,4.98,2.04,3.06,2.71,1.76,2.11,1.14,2.48,Feng-Sen (Eq. 41)
